image_identity,label,review_reason,baseline_mean,baseline_p99,baseline_max,candidate_mean,candidate_p99,candidate_max,classification_status,review_rank
test_public/bad/009_underexposed.png,bad,anomaly_low_score,0.056974262359810623,0.13683493137359623,0.19096338748931885,-0.05157664675747283,0.011533869151025888,0.5038483738899231,NOT_COMPUTED_NO_FROZEN_THRESHOLD,1
test_public/bad/009_regular.png,bad,anomaly_low_score,0.06053082753788708,0.13903103545308113,0.17928168177604675,-0.048557537834176094,0.018066817056387633,0.4712150990962982,NOT_COMPUTED_NO_FROZEN_THRESHOLD,2
test_public/bad/012_underexposed.png,bad,anomaly_low_score,0.061912220127165796,0.15319860503077518,0.23249474167823792,-0.04698060604711093,0.01837484650313852,0.14605040848255157,NOT_COMPUTED_NO_FROZEN_THRESHOLD,3
test_public/bad/010_underexposed.png,bad,anomaly_low_score,0.06834318889622715,0.14424473494291307,0.23018890619277954,-0.040478723170150645,0.021782519109546927,0.1416257619857788,NOT_COMPUTED_NO_FROZEN_THRESHOLD,4
test_public/bad/006_underexposed.png,bad,anomaly_low_score,0.06274602638926474,0.1483567200601101,0.20837247371673584,-0.04713180018106208,0.022166997194290085,0.24387647211551666,NOT_COMPUTED_NO_FROZEN_THRESHOLD,5
test_public/bad/009_overexposed.png,bad,anomaly_low_score,0.06846346827116889,0.17926266044378295,0.3639374375343323,-0.04571472662246478,0.02223859680816483,0.23757243156433105,NOT_COMPUTED_NO_FROZEN_THRESHOLD,6
test_public/bad/010_regular.png,bad,anomaly_low_score,0.07376299011604992,0.15347262620925903,0.23186229169368744,-0.03834146505726005,0.0237978225573897,0.13034012913703918,NOT_COMPUTED_NO_FROZEN_THRESHOLD,7
test_public/bad/006_regular.png,bad,anomaly_low_score,0.06667179290289837,0.16005318611860278,0.21624866127967834,-0.04723015322517098,0.025952797569334447,0.23047147691249847,NOT_COMPUTED_NO_FROZEN_THRESHOLD,8
test_public/bad/005_underexposed.png,bad,anomaly_low_score,0.06373041700798865,0.15264395773410808,0.22193636000156403,-0.04526216230180318,0.02596446936950069,0.09680115431547165,NOT_COMPUTED_NO_FROZEN_THRESHOLD,9
test_public/bad/005_regular.png,bad,anomaly_low_score,0.06597523627787893,0.14665239304304126,0.19908477365970612,-0.04560395235136048,0.026026202365755768,0.10055895149707794,NOT_COMPUTED_NO_FROZEN_THRESHOLD,10
test_public/bad/012_regular.png,bad,anomaly_low_score,0.06563900926755295,0.14600918218493464,0.21598456799983978,-0.04268073088259588,0.02638696171343315,0.15151046216487885,NOT_COMPUTED_NO_FROZEN_THRESHOLD,11
test_public/bad/006_overexposed.png,bad,anomaly_low_score,0.07751853931865327,0.23098670765757567,0.5350180864334106,-0.04440438757926838,0.0285212380811571,0.22203336656093597,NOT_COMPUTED_NO_FROZEN_THRESHOLD,12
test_public/bad/011_underexposed.png,bad,anomaly_low_score,0.06475848993474642,0.172419396042824,0.2696341872215271,-0.046655418556744765,0.03153433576226231,0.12113635987043381,NOT_COMPUTED_NO_FROZEN_THRESHOLD,13
test_public/bad/005_overexposed.png,bad,anomaly_low_score,0.07463189804668602,0.26005423814058315,0.43941351771354675,-0.04432253120814074,0.03333798795938489,0.11838273704051971,NOT_COMPUTED_NO_FROZEN_THRESHOLD,14
test_public/bad/011_regular.png,bad,anomaly_low_score,0.06851885075854369,0.1824676260352136,0.2499532848596573,-0.04603143670632506,0.03435135390609502,0.15239636600017548,NOT_COMPUTED_NO_FROZEN_THRESHOLD,15
test_public/bad/010_shift_3.png,bad,anomaly_low_score,0.08502103739326117,0.2719424530863763,0.4039686322212219,-0.041166232238744126,0.03710724711418145,0.11787338554859161,NOT_COMPUTED_NO_FROZEN_THRESHOLD,16
test_public/bad/006_shift_3.png,bad,anomaly_low_score,0.07905136173924276,0.2343054927885537,0.41346725821495056,-0.040907313443043235,0.03930938057601446,1.7311902046203613,NOT_COMPUTED_NO_FROZEN_THRESHOLD,17
